match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,team_bat_avg,team_top4_strike_rate,team_opf,inning_runs/ball,team_f_1,team_f_2,winner_01,toss_winner_01,toss_decision_01,team1_win_rate,team2_win_rate,win_ratio,team1_to_team2_average_boundaries_to_balls_bowled_ratio
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,2022-10-20,day/night match,Sd Mq Ai Ty,2022/23,7398,1.6666666666666667,0.6721311475409836,139.0,100.0,157.17857142857142,0.912783225022257,0.9370363340294744,0.7502303246078671,0.9547619334899586,0.9995623827880455,0.9415894622532556,1,1,0,0.5,0.7142857142857143,0.7,1.877817952
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,2022-01-23,day/night match,Ed tr of Wt Is,2021/22,1406,1.2857142857142858,1.9523809523809523,156.0,50.0,103.5,1.1124506993975976,0.9977597034663126,1.0350491521631942,1.1228080193983694,1.1123477908726698,0.9841779491436856,0,1,0,0.5957446808510638,0.4545454545454545,1.3106382978723403,0.78629171
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,2023-06-02,day/night match,Vy Bt,2023,251,0.8571428571428571,0.6721311475409836,173.26666666666668,0.0,154.33333333333334,0.9734082617612156,0.9768509708391144,0.9884228507739636,0.9513812078717356,0.8426911107031089,0.7711344543047906,0,1,0,0.4193548387096774,0.5573770491803278,0.752371916508539,0.766958941
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,2023-09-10,day match,Cn Pr Le,2023,14300,2.1666666666666665,1.975609756097561,164.26666666666668,50.0,144.25,1.0819761407859834,1.0921030333656965,1.230346965496679,0.9985786782472612,0.8948449478437183,1.1311657376323252,0,0,1,0.5833333333333334,0.48,1.215277777777778,0.925842415
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,2023-04-13,night match,In Pr Le,2023,7118,0.8181818181818182,1.3278688524590163,164.66666666666666,0.0,189.0,0.9167003890272226,1.1828115636221497,1.053903593585407,0.9609493670886076,0.9979707111343648,0.9816015432541754,1,1,0,0.4375,0.625,0.7,1.131417768
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,2023-01-09,night match,Bh Pr Le,2022/23,14188,1.0,1.0,158.44444444444446,50.0,147.93333333333334,0.9018740586940832,0.9254180958786146,0.9287180829957804,0.9769498240063842,0.980248163147181,1.207097588622419,1,1,0,0.3125,0.3333333333333333,0.9375,0.610353045
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,2022-09-25,night match,Aa tr of Ia,2022,13880,0.7,1.4878048780487805,141.4,50.0,,0.9027219718979046,1.060186166128002,1.0731371840711597,0.9607748335196664,0.9965288019847665,0.7972106485178226,1,1,0,0.4545454545454545,0.6724137931034483,0.675990675990676,0.869690773
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,2022-12-18,day match,La Pr Le,2022/23,7041,0.9090909090909092,1.4878048780487805,156.15384615384616,40.0,129.93333333333334,0.8827030775912444,1.0193208917065948,0.9477474573726706,1.1381173409200167,1.0749493278847304,1.1657898155670976,0,0,1,0.5833333333333334,0.4375,1.3333333333333337,1.146313027
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,2022-10-18,day/night match,Sd Mq Ai Ty,2022/23,7398,0.2727272727272727,0.5061728395061729,138.5,0.0,157.69230769230768,0.642397023556067,0.7869027516044079,0.5788009990812233,0.859089121887287,0.9296197931949844,inf,0,1,0,0.7142857142857143,0.6666666666666666,1.0714285714285716,1.004021098
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,2022-06-26,day match,Ia tr of Id,2022,6831,0.3478260869565217,0.5061728395061729,154.26666666666668,0.0,148.5,0.7032385270301708,0.803653884727814,0.8312512962590654,0.9121830939783802,1.0139181020133017,0.8996736895015678,1,1,0,0.3658536585365853,0.6724137931034483,0.5440900562851783,0.738615752
